Roaster,Product Name,Origin,Process,Roast Level,Format,Weight (g),Price (Toman),Price / 100g,Specialty Score,In Stock?,Categories,Product URL,Description
Cafe Raees,قهوه مدیوم پریمیوم ۵۰۰ گرمی(۱۰۰٪ آرابیکا),Colombia,,Medium,Whole bean,500.0,2300000,460000.0,,False,خرید آنلاین قهوه; فروشگاه آنلاین; هورکا (سین),https://raeescoffee.com/product/%d9%82%d9%87%d9%88%d9%87-%d9%85%d8%af%db%8c%d9%88%d9%85-%d9%be%d8%b1%db%8c%d9%85%db%8c%d9%88%d9%85-%db%b5%db%b0%db%b0-%da%af%d8%b1%d9%85%db%8c%db%b8%db%b0%d9%aa-%d8%a7%d8%b1%d8%a7%d8%a8%db%8c%da%a9/,"مدیوم پریمیوم،ترکیبی از ۱۰۰٪ دانه های ارابیکاست که طعمی دلنشین و اسیدیته ی متعادل را ارائه می دهد. 
 این قهوه با طعم لطیف و رایحه ای خوشایند،مناسب برای کسانی است که به دنبال یک تجربه ملایم و با کیفیت از قهوه هستند.مدیوم پریمیوم انتخابی ایده آل برای لذت بردن در هر لحظه از روز است و در بسته بندی های مطمئن و با کیفیت قابل ارائه میباشد."
Cafe Raees,قهوه های-کافئین ۵۰۰ گرمی(۱۰۰٪ روبوستا),Vietnam,,,Whole bean,500.0,1150000,230000.0,,False,خرید آنلاین قهوه; فروشگاه آنلاین; هورکا (سین),https://raeescoffee.com/product/%d9%82%d9%87%d9%88%d9%87-%d9%87%d8%a7%db%8c-%da%a9%d8%a7%d9%81%d8%a6%db%8c%d9%86-%db%b5%db%b0%db%b0-%da%af%d8%b1%d9%85%db%8c%db%b1%db%b0%db%b0%d9%aa-%d8%b1%d9%88%d8%a8%d9%88%d8%b3%d8%aa%d8%a7/,"های-کافئین  از ۱۰۰٪ دانه های ربوستا تهیه شده و با کافئین بالا،طعم قوی و انرژی مضاعفی را به همراه دارد. 
 این قهوه گزینه ای مناسب برای آمیختن دانه های قهوه با ذائقه مورد نظرتان است.بسته بندی حرفه ای،تازگی و کیفیت دانه ها را حفظ کرده و آن را برای استفاده مناسب میسازد."
Cafe Raees,قهوه کلمبیا مدیوم ۳ کیلوگرمی(۱۰۰٪ آرابیکا),Colombia,,Medium,Whole bean,3000.0,17550000,585000.0,,False,خرید آنلاین قهوه; فروشگاه آنلاین; قهوه کلمبیا (۱۰۰٪ آرابیکا),https://raeescoffee.com/product/%d9%82%d9%87%d9%88%d9%87-%da%a9%d9%84%d9%85%d8%a8%db%8c%d8%a7-%d9%85%d8%af%db%8c%d9%88%d9%85-%db%b3-%da%a9%db%8c%d9%84%d9%88%da%af%d8%b1%d9%85%db%8c/,"قهوه کلمبیا سوپریمو Colombia Supremo  
 در بررسی‌های   قهوه کلمبیا  ، آن را به عنوان قهوه‌ای با غلظت متوسط همراه با طعم غنی و اسیدیتی یاد می‌کنند. همچنین، این قهوه به دلیل گوارا بودن شناخته شده است که باعث می‌شود آن را به عنوان طعم پرطرفدار و غالب در برخی از کشورهای دیگر ایده‌آل سازد. 
    دانلود کاتالوگ قهوه     
 درجه رُست:  مدیوم  
 پیشنهاد دم آوری:  اسپرسو،موکاپات،فیلترکافی،فرنچ پرس  
 
 
 ابع"
Cafe Raees,قهوه کلمبیا مدیوم ۱ کیلوگرمی(۱۰۰٪ آرابیکا),Colombia,,Medium,Whole bean,1000.0,5900000,590000.0,,False,خرید آنلاین قهوه; فروشگاه آنلاین; قهوه کلمبیا (۱۰۰٪ آرابیکا),https://raeescoffee.com/product/%d9%82%d9%87%d9%88%d9%87-%da%a9%d9%84%d9%85%d8%a8%db%8c%d8%a7-%d9%85%d8%af%db%8c%d9%88%d9%85-%db%b1-%da%a9%db%8c%d9%84%d9%88%da%af%d8%b1%d9%85%db%8c/,"قهوه کلمبیا سوپریمو Colombia Supremo  
 در بررسی‌های   قهوه کلمبیا  ، آن را به عنوان قهوه‌ای با غلظت متوسط همراه با طعم غنی و اسیدیتی یاد می‌کنند. همچنین، این قهوه به دلیل گوارا بودن شناخته شده است که باعث می‌شود آن را به عنوان طعم پرطرفدار و غالب در برخی از کشورهای دیگر ایده‌آل سازد. 
    دانلود کاتالوگ قهوه     
 Growing Altitude:  1200 m.a.s.l  
 
 
 Process:  Washed  
 
 
 درجه رُست:  مدیوم  
"
Cafe Raees,قهوه کلمبیا مدیوم ۲۵۰ گرمی(۱۰۰٪ آرابیکا),Colombia,,Medium,Whole bean,250.0,1500000,600000.0,,False,خرید آنلاین قهوه; فروشگاه آنلاین; قهوه کلمبیا (۱۰۰٪ آرابیکا),https://raeescoffee.com/product/%d9%82%d9%87%d9%88%d9%87-%da%a9%d9%84%d9%85%d8%a8%db%8c%d8%a7-%d9%85%d8%af%db%8c%d9%88%d9%85-%db%b2%db%b5%db%b0-%da%af%d8%b1%d9%85%db%8c/,"قهوه کلمبیا سوپریمو Colombia Supremo  
 در بررسی‌های   قهوه کلمبیا  ، آن را به عنوان قهوه‌ای با غلظت متوسط همراه با طعم غنی و اسیدیتی یاد می‌کنند. همچنین، این قهوه به دلیل گوارا بودن شناخته شده است که باعث می‌شود آن را به عنوان طعم پرطرفدار و غالب در برخی از کشورهای دیگر ایده‌آل سازد. 
    دانلود کاتالوگ قهوه   
  
    
 Growing Altitude:  1200 m.a.s.l  
 
 
 Process:  Washed  
 
 
 درجه رُست:  مد"
Cafe Raees,قهوه ترک ۲۵۰ گرمی(۱۰۰٪ آرابیکا),Brazil,,,,250.0,700000,280000.0,,False,خرید آنلاین قهوه; فروشگاه آنلاین; قهوه ترک (۱۰۰٪ آرابیکا),https://raeescoffee.com/product/%d9%82%d9%87%d9%88%d9%87-%d8%aa%d8%b1%da%a9/,"قهوه ترک  
 قهوه ترک به روش دم آوری قهوه آسیاب شده خیلی ریز اشاره دارد. هر نوعی از دانه قهوه، مانند عربیکا (آرابیکا)، روبوستا و یا قهوه آمیخته را برای دم کردن   قهوه ترک   می‌توان استفاده کرد، ولی دانه قهوه عربیکا (آرابیکا) بهترین گزینه محسوب می‌شود. دانه قهوه را باید به اندازه پودر قند و به صورت خیلی ریز آسیاب کرد تا هنگام سرو قهوه، پودر به طور کامل در انتهای فنجان ته نشین شود. پودر قهوه ترک رئیس"
Cafe Raees,قهوه گواتمالا ۲۵۰گرمی(۱۰۰٪ آرابیکا),Guatemala,,,Whole bean,250.0,,,,True,خرید آنلاین قهوه; فروشگاه آنلاین; قهوه گواتمالا (۱۰۰٪ آرابیکا),https://raeescoffee.com/product/%d9%82%d9%87%d9%88%d9%87-%da%af%d9%88%d8%a7%d8%aa%d9%85%d8%a7%d9%84%d8%a7-%db%b2%db%b5%db%b0%da%af%d8%b1%d9%85%db%8c/,"گواتمالا سن آنتونیو Guatemala San Antonio  
 طیف گسترده‌ای از طعم‌ها در قهوه گواتمالا وجود دارند. این قهوه با غلظت متوسط تا زیاد، دارای عمق و پیچیدگی در طعم است.   قهوه گواتمالا  ، معنای واقعی قهوه آمریکای مرکزی هستند. 
    دانلود کاتالوگ قهوه     
 ‫‪Growing‬ Altitude‬‬:  ‫‪900-1650‬‬ ‫‪m.a.s.l‬‬  
 
 
 process:  Semi Washed  
 
 
 درجه رُست:  مدیوم  
 
 
 ‫‪Sweetness‬‬:  Medium  
 
 
 Cupping no"
Cafe Raees,زیپ کاپ کلمبیا ۵۰ عددی,Colombia,,,,,3870000,,,False,زیپ کاپ / زیپ بگ; فروشگاه آنلاین,https://raeescoffee.com/product/%d8%b2%db%8c%d9%be-%da%a9%d8%a7%d9%be-%db%b5%db%b0-%d8%b9%d8%af%d8%af%db%8c/,"توضیحات تکمیلی زیپ کاپ  
 
   قهوه‌ ی زیپ کاپ محصولی جدید از کارخانه‌ی رئیس است، این قهوه فاقد هرگونه شکر و نگهدارنده می‌باشد و هدف تولید این محصول وجود قهوه‌ای فوری ولی حرفه‌ای برای علاقه مندان به قهوه می‌باشد.زیپ کاپ به مصرف کنندگان قهوه کمک می‌کند تا قهوه دمی با کیفیت را در هر مکان، موقعیت در سریع‌ترین زمان تجربه کنند.قهوه‌ی مورد استفاده در زیپ‌کاپ، کلمبیای سوپریمو می‌باشد، سوپریمو اشاره به اند"
Cafe Raees,زیپ کاپ کلمبیا,Colombia,,,,,430000,,,False,زیپ کاپ / زیپ بگ; فروشگاه آنلاین,https://raeescoffee.com/product/%d8%b2%db%8c%d9%be-%da%a9%d8%a7%d9%be/,"قهوه زیپ کاپ، قهوه آسیاب‌شده‌ای است که درون ساشه‌های یک‌بارمصرف قرار دارد. هر ساشه حاوی ۱۰ گرم قهوه است که مناسب دم‌آوری یک فنجان کامل قهوه می‌باشد. این قهوه فاقد شکر و نگهدارنده است و طعمی طبیعی و باکیفیت را ارائه می‌دهد. فیلتر زیپ کاپ از جنس الیاف مخصوص ساخته شده که در برابر آب با دمای بالا مقاوم بوده و تجربه‌ای ساده و سریع از دم‌آوری قهوه را برای شما فراهم می‌کند. 
 از قهوه‌ی کلمبیا به عنوان قه"
Cafe Raees,زیپ بگ کلمبیا ۱ لیتری,Colombia,,,,,,,,True,زیپ کاپ / زیپ بگ,https://raeescoffee.com/product/%d8%b2%db%8c%d9%be-%d8%a8%da%af-%db%b1-%d9%84%db%8c%d8%aa%d8%b1%db%8c/,"زیپ بگ چیست؟ این محصول قهوه دمی است و به شما این امکان را می دهد که تنها با استفاده از آب داغ، قهوه استاندارد را در ساده ترین و سریع ترین زمان دم آوری و نوش جان کنید. مناسب برای استفاده درمنزل، سفر و محل کار. 
 از قهوه ی کلمبیا به عنوان قهوه ای با غلظت متوسط همراه با طعم غنی و اسیدیتی متعادل یاد می کنند. همچنین قهوه کلمبیا به دلیل گوارا بودن شناخته شده است، شاخصه ای که آن را در بسیاری از کشورهای ج"
